groupins for DFSP,Sex,"Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)",Year of diagnosis sebaceous carcinoma,SEER registry,Age-Adjusted Rate,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Count,Rate Ratio,Ratio Lower Confidence Interval,Ratio Upper Confidence Interval,Ratio P-Value,Population
0-19,Male and female,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.05,0, , , , ,8020146
0-19,Male and female,Non-Hispanic White,2000-2021,Connecticut,0,~,0,0.03,0, , , , ,12660643
0-19,Male and female,Non-Hispanic White,2000-2021,Hawaii,0,~,0,0.39,0, , , , ,917195
0-19,Male and female,Non-Hispanic White,2000-2021,Iowa,0,~,0,0.02,0, , , , ,15103629
0-19,Male and female,Non-Hispanic White,2000-2021,New Mexico,0,~,0,0.11,0, , , , ,3458771
0-19,Male and female,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0,~,0,0.02,0, , , , ,16546876
0-19,Male and female,Non-Hispanic White,2000-2021,Utah,0,~,0,0.02,0, , , , ,16277897
0-19,Male and female,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0,~,0,0.05,0, , , , ,7088688
0-19,Male and female,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic White,2000-2021,San Jose-Monterey,0,~,0,0.09,0, , , , ,4401287
0-19,Male and female,Non-Hispanic White,2000-2021,Los Angeles,0.01,0.01,0,0.05,1, , , , ,11584679
0-19,Male and female,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,1.15,0, , , , ,324711
0-19,Male and female,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0,~,0,0.01,0, , , , ,46174662
0-19,Male and female,Non-Hispanic White,2000-2021,Kentucky,0,0,0,0.03,1, , , , ,20671742
0-19,Male and female,Non-Hispanic White,2000-2021,Louisiana,0,~,0,0.02,0, , , , ,14869203
0-19,Male and female,Non-Hispanic White,2000-2021,New Jersey,0,~,0,0.01,0, , , , ,26835857
